transfert size : 20.0000000000 MB, iterations : 15, max bandwidths : arange(5, 101 ,5)
max_bw iter total_transfert time goodput
5 0 20146866 44.112385 3.6537
5 1 20899544 35.364328 4.7278
5 2 20899544 35.518701 4.7073
5 3 20899522 35.338268 4.7313
5 4 20899518 35.673178 4.6869
5 5 20899544 35.327438 4.7328
5 6 21077780 79.255427 2.1276
5 7 20899531 35.230292 4.7458
5 8 20899544 36.088450 4.6330
5 9 20963597 37.833578 4.4328
5 10 20899531 35.330297 4.7324
5 11 20899509 35.348082 4.7300
5 12 20899544 37.824506 4.4203
5 13 20899544 35.743306 4.6777
5 14 20899427 40.199871 4.1591
10 0 20899596 17.862200 9.3604
10 1 20899548 17.869689 9.3564
10 2 20899544 20.728076 8.0662
10 3 20899596 18.225388 9.1738
10 4 20899583 18.831534 8.8785
10 5 20930626 18.226163 9.1871
10 6 20898736 18.305447 9.1333
10 7 20899570 18.032073 9.2722
10 8 20899583 24.056262 6.9502
10 9 20899548 17.854105 9.3646
10 10 20899583 19.475851 8.5848
10 11 20899596 17.843388 9.3702
10 12 20899414 19.152245 8.7298
10 13 20899548 18.099926 9.2374
10 14 20899548 18.067236 9.2541
15 0 21274423 16.049825 10.6042
15 1 20899596 13.395876 12.4812
15 2 20900874 13.823149 12.0962
15 3 20899570 13.555649 12.3341
15 4 20899583 12.122783 13.7919
15 5 20900826 14.978360 11.1632
15 6 20899548 12.098744 13.8193
15 7 20900861 12.383124 13.5028
15 8 20898684 12.734994 13.1284
15 9 20900874 14.305287 11.6885
15 10 20899466 12.160150 13.7495
15 11 20899561 12.079505 13.8413
15 12 20899583 12.335632 13.5540
15 13 20899583 13.541513 12.3470
15 14 20899583 11.977410 13.9593
20 0 20899522 13.627812 12.2687
20 1 20900826 9.492312 17.6150
20 2 20900839 9.584129 17.4462
20 3 20900861 11.264272 14.8440
20 4 20900874 9.948234 16.8077
20 5 20899596 9.155658 18.2616
20 6 20899583 11.300437 14.7956
20 7 20900861 11.409805 14.6547
20 8 20719588 12.455692 13.3077
20 9 20900826 9.337374 17.9072
20 10 20914407 11.464738 14.5939
20 11 20914407 9.713297 17.2254
20 12 20900887 9.252732 18.0711
20 13 20979894 9.575463 17.5280
20 14 20899596 10.973609 15.2363
25 0 20899570 9.958880 16.7887
25 1 20914446 7.536956 22.1994
25 2 20914446 7.428892 22.5223
25 3 20899583 7.390887 22.6220
25 4 20899583 9.098780 18.3757
25 5 20899609 7.389746 22.6255
25 6 20900939 8.562867 19.5270
25 7 20900900 8.393219 19.9217
25 8 20914472 7.446413 22.4693
25 9 20344592 8.246388 19.7367
25 10 20899548 7.818878 21.3837
25 11 20900900 7.496837 22.3037
25 12 20899561 7.480661 22.3505
25 13 20899583 7.391838 22.6191
25 14 20914463 7.529734 22.2207
30 0 20899561 6.433541 25.9883
30 1 20898762 6.415962 26.0585
30 2 20914563 6.290161 26.5997
30 3 20899583 6.572093 25.4404
30 4 20899362 6.522577 25.6333
30 5 20899444 6.323627 26.4398
30 6 20899492 6.494540 25.7441
30 7 20899596 11.644152 14.3589
30 8 20914550 6.312201 26.5068
30 9 20914437 6.877698 24.3273
30 10 20899362 6.384789 26.1864
30 11 20899479 6.603033 25.3211
30 12 20819285 7.626729 21.8382
30 13 20914641 7.440318 22.4879
30 14 20899444 6.316635 26.4691
35 0 20899596 5.547759 30.1377
35 1 20899544 6.896736 24.2428
35 2 20899518 6.292516 26.5706
35 3 20899561 6.229248 26.8406
35 4 20899596 5.935224 28.1703
35 5 20900848 6.145231 27.2092
35 6 20899596 5.664395 29.5171
35 7 21749155 7.305357 23.8172
35 8 20914398 5.795005 28.8723
35 9 20914485 8.378371 19.9700
35 10 21012813 5.870527 28.6350
35 11 20914784 5.594037 29.9101
35 12 21421837 6.835806 25.0702
35 13 20914563 7.686156 21.7686
35 14 20899418 5.956111 28.0712
40 0 20901190 6.180775 27.0532
40 1 20637739 5.742586 28.7504
40 2 20898736 5.829085 28.6820
40 3 20914641 5.461343 30.6366
40 4 20898853 4.984741 33.5405
40 5 20914567 4.979891 33.5984
40 6 20898788 5.131825 32.5791
40 7 20899570 5.522812 30.2738
40 8 20914502 7.938364 21.0769
40 9 21061782 5.590338 30.1403
40 10 20898892 5.615651 29.7724
40 11 20980741 5.158142 32.5400
40 12 20898866 5.891804 28.3769
40 13 20914762 4.925350 33.9708
40 14 20899596 5.812978 28.7627
