transfert size : 20.0000000000 MB, iterations : 15, max bandwidths : arange(5, 101 ,5)
max_bw iter total_transfert time goodput
5 0 34.71 19.7 4.77
5 1 35.20 19.8 4.71
5 2 35.26 19.7 4.70
5 3 41.07 19.8 4.04
5 4 35.47 19.8 4.67
5 5 39.64 19.8 4.18
5 6 36.70 19.8 4.52
5 7 35.26 19.7 4.70
5 8 34.72 19.7 4.77
5 9 37.45 19.7 4.42
5 10 34.70 19.7 4.77
5 11 34.68 19.7 4.78
5 12 36.68 19.8 4.52
5 13 40.29 19.8 4.12
5 14 39.22 19.8 4.23
10 0 19.02 19.5 8.62
10 1 18.58 19.5 8.83
10 2 17.22 19.5 9.51
10 3 18.04 19.5 9.08
10 4 18.42 19.5 8.90
10 5 19.29 19.5 8.50
10 6 17.39 19.7 9.52
10 7 17.19 19.5 9.54
10 8 18.00 19.5 9.10
10 9 17.36 19.7 9.53
10 10 17.88 19.5 9.16
10 11 18.58 19.5 8.82
10 12 17.50 19.5 9.37
10 13 17.21 19.5 9.53
10 14 17.25 19.5 9.50
15 0 12.48 19.6 13.2
15 1 11.58 19.5 14.1
15 2 16.10 19.5 10.2
15 3 12.68 19.6 12.9
15 4 11.63 19.6 14.1
15 5 11.85 19.5 13.8
15 6 12.27 19.5 13.4
15 7 12.23 19.6 13.4
15 8 13.24 19.6 12.4
15 9 14.50 19.6 11.3
15 10 12.12 19.5 13.5
15 11 12.81 19.6 12.8
15 12 12.73 19.5 12.9
15 13 14.24 19.7 11.6
15 14 12.26 19.5 13.4
20 0 11.05 19.5 14.8
20 1 9.29 19.5 17.7
20 2 8.82 19.5 18.6
20 3 8.79 19.5 18.6
20 4 9.67 19.5 17.0
20 5 8.86 19.6 18.5
20 6 8.68 19.3 18.6
20 7 9.10 19.6 18.0
20 8 8.69 19.3 18.6
20 9 8.70 19.3 18.6
20 10 9.21 19.5 17.8
20 11 11.31 19.5 14.5
20 12 8.72 19.3 18.6
20 13 9.25 19.5 17.7
20 14 8.66 19.3 18.7
25 0 7.54 19.3 21.5
25 1 9.61 19.3 16.8
25 2 7.17 19.6 23.0
25 3 7.16 19.3 22.6
25 4 7.50 19.3 21.5
25 5 7.72 19.3 20.9
25 6 7.83 19.3 20.6
25 7 7.07 19.6 23.3
