transfert size : 30.0000000000 MB, iterations : 10, max bandwidths : arange(5, 75 ,5)
max_bw iter total_transfert time goodput
5 0 31469491 62.545452 4.0252
5 1 31369686 55.981431 4.4829
5 2 31390523 59.633799 4.2111
5 3 31405200 54.998782 4.5681
5 4 32058497 71.565079 3.5837
5 5 31371306 56.060213 4.4768
5 6 31371306 53.066989 4.7293
5 7 30749576 60.716309 4.0516
5 8 31406730 65.909338 3.8121
5 9 31369729 60.646606 4.1380
10 0 31358487 26.974713 9.3001
10 1 31365739 40.906102 6.1342
10 2 31373673 30.333230 8.2744
10 3 31362936 27.966302 8.9716
10 4 31362936 28.348136 8.8508
10 5 30953873 32.377547 7.6482
10 6 31542892 30.704083 8.2186
10 7 31365571 30.443577 8.2423
10 8 31413140 31.589409 7.9554
10 9 30688430 33.532017 7.3216
15 0 31358861 24.095245 10.4116
15 1 31362802 18.989741 13.2125
15 2 31356885 26.052091 9.6290
15 3 31358790 31.738342 7.9043
15 4 31364422 18.209058 13.7797
15 5 31358777 18.874647 13.2914
15 6 31774854 24.328572 10.4486
15 7 31357475 26.441454 9.4874
15 8 31358790 47.709298 5.2583
15 9 31364461 19.217346 13.0567
20 0 31363027 24.508785 10.2373
20 1 31360851 20.799269 12.0623
20 2 31358381 15.121651 16.5899
20 3 31365856 18.691924 13.4243
20 4 31359999 16.556183 15.1533
20 5 31298987 15.915536 15.7325
20 6 31358790 18.547766 13.5256
20 7 31510272 15.627055 16.1311
20 8 31362802 14.105725 17.7873
20 9 31362688 16.652683 15.0667
25 0 31360250 12.270525 20.4459
25 1 31363010 16.511348 15.1959
25 2 31263313 19.683527 12.7064
25 3 31358591 11.502285 21.8103
25 4 31363053 12.155922 20.6405
25 5 31357157 14.329629 17.5062
25 6 31354326 20.360214 12.3198
25 7 31364249 12.535902 20.0156
25 8 31364293 13.926500 18.0170
25 9 31278754 17.290441 14.4722
30 0 31358790 14.038284 17.8704
30 1 31313716 15.141528 16.5445
30 2 31362894 12.579242 19.9458
30 3 31366185 14.968849 16.7634
30 4 31359968 13.123010 19.1175
30 5 31364474 11.646488 21.5443
30 6 31555639 11.905466 21.2041
30 7 31117597 286.768753 0.8681
30 8 31765468 20.500957 12.3957
30 9 31363001 15.287880 16.4120
35 0 31356836 10.312988 24.3242
35 1 31357613 26.310141 9.5348
35 2 31360237 60.424947 4.1520
35 3 31365869 11.117833 22.5698
35 4 31364487 12.094218 20.7468
35 5 31365869 9.566070 26.2309
35 6 30506848 17.133407 14.2444
35 7 31364448 9.058444 27.6996
35 8 31293342 14.761013 16.9600
35 9 31361112 26.137330 9.5989
40 0 31370236 9.074849 27.6547
40 1 31649771 10.203504 24.8148
40 2 31367169 7.677292 32.6857
40 3 31358816 8.179566 30.6704
40 4 31358734 8.055074 31.1443
40 5 31362898 9.877424 25.4017
40 6 30769706 17.202940 14.3090
40 7 30431628 9.063928 26.8595
40 8 31358556 8.503157 29.5030
40 9 32045968 17.315366 14.8058
45 0 31605667 21.890411 11.5505
45 1 31361710 11.830418 21.2075
45 2 31361485 7.999559 31.3632
45 3 31538847 11.640552 21.6752
45 4 31356680 13.414684 18.6999
45 5 31365749 7.968824 31.4885
45 6 31363040 7.641329 32.8352
45 7 31361671 12.582949 19.9392
45 8 31358591 8.784516 28.5581
45 9 31360198 9.053910 27.7098
50 0 31356862 7.773326 32.2712
50 1 31364487 10.337211 24.2731
50 2 31358413 8.227295 30.4921
50 3 31356932 16.641895 15.0737
50 4 31360025 7.689870 32.6248
50 5 31361113 7.620638 32.9223
50 6 31360690 26.982555 9.2981
50 7 31362583 7.288845 34.4226
50 8 31360211 8.716462 28.7825
50 9 31361723 6.288147 39.8995
55 0 31360237 6.610754 37.9506
55 1 31360224 7.941694 31.5905
55 2 31363027 8.558954 29.3148
55 3 31783517 9.676522 26.2768
55 4 31358817 6.040225 41.5333
55 5 31361230 6.183007 40.5773
55 6 31360025 6.920786 36.2502
55 7 31360104 6.112234 41.0457
55 8 31358530 6.006058 41.7692
55 9 31360237 9.010846 27.8422
60 0 31358319 11.581824 21.6604
60 1 31361658 7.721553 32.4926
60 2 31353290 18.753652 13.3748
60 3 31030171 11.613330 21.3756
60 4 31364275 5.516442 45.4848
60 5 31361671 7.337209 34.1947
60 6 31360224 5.860546 42.8086
60 7 31365657 5.537984 45.3099
60 8 31365908 5.493967 45.6732
60 9 30624626 14.071445 17.4109
65 0 31350939 31.652037 7.9239
65 1 31367342 6.732890 37.2706
65 2 31430078 5.826888 43.1518
65 3 31367342 5.567403 45.0729
65 4 31367381 5.251002 47.7888
65 5 31365895 5.348593 46.9146
65 6 31360224 7.725699 32.4737
65 7 31365749 6.625987 37.8700
65 8 31364288 5.285225 47.4747
65 9 31362859 6.963553 36.0309
70 0 31356940 6.678350 37.5625
70 1 31361446 4.880984 51.4018
70 2 31362841 5.391210 46.5392
70 3 31360250 7.962311 31.5087
70 4 31362911 5.080029 49.3901
70 5 31447524 5.197833 48.4010
70 6 31363053 5.051693 49.6674
70 7 31365882 6.887118 36.4343
70 8 31362841 5.052987 49.6543
70 9 31360263 6.121798 40.9818
