transfert size : 10.0000000000 MB, iterations : 30, delays : arange(5, 201 ,15), bw : 5
delay bw iter time total_transfert goodput
5 5 0 15.04 7.38 4.12
5 5 1 32.91 6.51 1.66
5 5 2 14.10 6.68 3.98
5 5 3 14.16 6.69 3.97
5 5 4 13.46 7.15 4.46
5 5 5 13.19 7.33 4.66
5 5 6 21.59 7.20 2.80
5 5 7 40.85 6.71 1.38
5 5 8 19.42 6.23 2.69
5 5 9 14.53 7.16 4.13
5 5 10 18.66 7.29 3.28
5 5 11 15.18 7.36 4.07
5 5 12 16.90 6.75 3.35
5 5 13 15.43 6.26 3.40
5 5 14 18.33 7.01 3.21
5 5 15 13.00 7.16 4.62
5 5 16 19.93 7.16 3.01
5 5 17 14.18 6.73 3.98
5 5 18 13.85 7.61 4.61
5 5 19 14.19 7.08 4.18
5 5 20 16.72 7.16 3.59
5 5 21 13.90 7.36 4.44
5 5 22 14.97 7.38 4.13
5 5 23 23.56 7.16 2.55
5 5 24 14.64 7.23 4.14
5 5 25 18.02 7.21 3.35
5 5 26 14.45 7.60 4.41
5 5 27 15.94 7.67 4.04
5 5 28 18.28 6.40 2.94
5 5 29 15.69 6.47 3.46
20 5 0 13.39 7.13 4.46
20 5 1 17.58 6.16 2.94
20 5 2 16.57 6.24 3.16
20 5 3 14.31 7.22 4.23
20 5 4 18.92 7.27 3.23
20 5 5 18.73 6.24 2.79
20 5 6 14.80 7.17 4.06
20 5 7 13.12 6.93 4.43
20 5 8 17.29 7.17 3.48
20 5 9 39.48 7.16 1.52
20 5 10 19.21 7.59 3.32
20 5 11 26.19 7.38 2.36
20 5 12 15.93 7.36 3.87
20 5 13 38.28 6.00 1.31
20 5 14 16.13 6.34 3.30
20 5 15 14.80 7.39 4.19
20 5 16 14.51 7.05 4.08
20 5 17 15.75 7.05 3.75
20 5 18 16.02 7.17 3.75
20 5 19 12.77 7.12 4.68
20 5 20 21.43 7.17 2.81
20 5 21 14.37 7.75 4.53
20 5 22 12.77 7.11 4.67
20 5 23 14.09 7.74 4.61
20 5 24 12.77 7.11 4.67
20 5 25 13.88 7.17 4.34
20 5 26 18.64 7.17 3.23
20 5 27 14.94 7.17 4.03
20 5 28 19.55 7.41 3.18
20 5 29 13.90 7.56 4.57
35 5 0 16.36 7.11 3.65
35 5 1 49.35 6.09 1.03
35 5 2 23.08 7.44 2.70
35 5 3 13.47 7.16 4.46
35 5 4 15.32 7.10 3.88
35 5 5 18.77 6.41 2.86
35 5 6 17.51 6.93 3.32
35 5 7 13.59 7.17 4.42
35 5 8 16.03 6.98 3.65
35 5 9 20.84 6.30 2.54
35 5 10 18.41 6.76 3.08
35 5 11 13.98 7.15 4.29
35 5 12 13.14 6.99 4.46
35 5 13 17.58 7.15 3.41
35 5 14 17.05 7.60 3.74
35 5 15 16.79 7.25 3.62
35 5 16 18.14 6.54 3.02
35 5 17 22.23 7.12 2.69
35 5 18 13.19 7.14 4.54
35 5 19 16.52 7.44 3.78
35 5 20 14.64 7.38 4.23
35 5 21 15.50 6.21 3.36
35 5 22 17.68 6.06 2.87
35 5 23 13.28 7.15 4.52
35 5 24 18.48 6.20 2.81
35 5 25 15.91 7.15 3.77
35 5 26 13.41 7.17 4.49
35 5 27 16.35 7.16 3.68
35 5 28 20.03 6.22 2.61
35 5 29 15.25 6.43 3.54
50 5 0 15.47 7.02 3.80
50 5 1 14.76 7.12 4.05
50 5 2 13.24 6.99 4.43
50 5 3 19.58 6.16 2.64
50 5 4 25.92 6.93 2.24
50 5 5 18.84 6.29 2.80
50 5 6 28.33 7.01 2.07
50 5 7 15.25 7.15 3.93
50 5 8 13.75 7.14 4.36
50 5 9 16.91 7.54 3.74
50 5 10 15.37 6.99 3.82
50 5 11 20.81 7.15 2.88
50 5 12 15.08 6.96 3.87
50 5 13 28.35 7.19 2.13
50 5 14 14.42 7.37 4.29
50 5 15 18.97 6.99 3.09
50 5 16 14.08 6.44 3.84
50 5 17 17.59 7.31 3.49
50 5 18 20.63 7.15 2.91
50 5 19 18.92 6.51 2.89
50 5 20 14.96 6.99 3.92
50 5 21 15.93 6.85 3.61
50 5 22 53.95 6.85 1.06
50 5 23 19.37 6.85 2.97
50 5 24 14.83 6.60 3.73
50 5 25 27.39 6.99 2.14
50 5 26 17.02 6.95 3.43
50 5 27 19.59 6.99 2.99
50 5 28 17.41 6.09 2.93
50 5 29 20.07 6.33 2.64
65 5 0 17.37 6.15 2.97
65 5 1 33.53 6.00 1.50
65 5 2 31.59 6.18 1.64
65 5 3 48.56 6.84 1.18
65 5 4 14.36 7.02 4.10
65 5 5 50.97 6.30 1.04
65 5 6 21.43 5.69 2.23
65 5 7 16.33 7.16 3.68
65 5 8 16.91 7.06 3.50
65 5 9 14.06 6.98 4.16
65 5 10 19.29 6.84 2.98
65 5 11 20.09 6.94 2.90
65 5 12 18.59 7.44 3.36
