transfert size : 10.0000000000 MB, iterations : 30, delays : arange(5, 100 ,15), bw : 5
delay bw iter total_transfert time goodput
5 5 0 10445154 19.088234 4.3776
5 5 1 10446562 21.544152 3.8791
5 5 2 11682940 24.067279 3.8834
5 5 3 10723109 19.396771 4.4226
5 5 4 10443733 18.256618 4.5764
5 5 5 10446575 17.990824 4.6453
5 5 6 10444968 19.766236 4.2274
5 5 7 10445154 19.756863 4.2295
5 5 8 10445180 21.783367 3.8360
5 5 9 10443759 18.034697 4.6327
5 5 10 10444968 20.456853 4.0847
5 5 11 10445154 17.962889 4.6519
5 5 12 10442178 23.195966 3.6014
5 5 13 10442429 31.190014 2.6784
5 5 14 10444955 19.362331 4.3156
5 5 15 10444955 19.497509 4.2857
5 5 16 10436913 51.187002 1.6312
5 5 17 10446562 20.545965 4.0676
5 5 18 10445154 22.671500 3.6857
5 5 19 10445141 24.374168 3.4283
5 5 20 10446575 20.705176 4.0363
5 5 21 10507838 24.796622 3.3901
5 5 22 10445167 17.997132 4.6430
5 5 23 10445154 24.414022 3.4227
5 5 24 10444688 21.126762 3.9551
5 5 25 10445154 17.979993 4.6475
5 5 26 10445167 17.967193 4.6508
5 5 27 10445167 17.998315 4.6427
5 5 28 10443759 19.254342 4.3393
5 5 29 10445047 19.813000 4.2175
20 5 0 10446472 18.108657 4.6150
20 5 1 11797568 22.723911 4.1534
20 5 2 10445154 19.646013 4.2533
20 5 3 10445154 19.406579 4.3058
20 5 4 10443521 19.054696 4.3846
20 5 5 10446627 18.295400 4.5680
20 5 6 10446562 20.543940 4.0680
20 5 7 10443534 18.307798 4.5635
20 5 8 10442108 23.086977 3.6184
20 5 9 10444942 19.312789 4.3266
20 5 10 10440961 29.367825 2.8442
20 5 11 11832808 27.568284 3.4337
20 5 12 10446205 21.066335 3.9670
20 5 13 10444968 21.271104 3.9283
20 5 14 10443586 18.295336 4.5667
20 5 15 10446601 22.106628 3.7804
20 5 16 10443746 19.972326 4.1833
20 5 17 10446627 21.760212 3.8406
