total bandwidth : 10.0000000000 Mbits/sec, iterations : 15, sizes : arange(2, 20 ,2)
file_size[MB] iter total_transfert time goodput
2 0 1.64 1.63 8.33
2 1 1.51 1.63 9.03
2 2 2.73 1.64 5.03
2 3 2.94 1.64 4.68
2 4 1.70 1.53 7.54
2 5 2.82 1.65 4.92
2 6 1.43 1.64 9.57
2 7 2.10 1.70 6.81
2 8 3.14 1.71 4.56
2 9 1.44 1.64 9.52
2 10 2.53 1.63 5.39
2 11 2.49 1.66 5.61
2 12 1.62 1.63 8.47
2 13 1.47 1.64 9.32
2 14 2.15 1.64 6.40
4 0 4.03 3.50 7.29
4 1 3.98 3.50 7.38
4 2 5.74 3.53 5.15
4 3 5.36 3.52 5.52
4 4 3.25 3.69 9.53
4 5 3.41 3.53 8.67
4 6 5.72 3.49 5.12
4 7 6.22 3.50 4.72
4 8 3.10 3.53 9.54
4 9 5.67 3.50 5.18
4 10 3.10 3.51 9.51
4 11 3.13 3.56 9.54
4 12 3.89 3.58 7.72
4 13 4.23 3.57 7.08
4 14 3.08 3.50 9.55
6 0 8.60 5.63 5.49
6 1 5.00 5.56 9.33
6 2 4.97 5.56 9.38
6 3 4.88 5.55 9.54
6 4 4.98 5.62 9.46
6 5 9.43 5.77 5.13
6 6 4.90 5.55 9.51
6 7 4.87 5.55 9.56
6 8 4.90 5.55 9.50
6 9 9.46 5.63 4.99
6 10 4.88 5.55 9.53
6 11 4.87 5.55 9.56
6 12 6.99 5.59 6.71
6 13 9.32 5.63 5.06
6 14 5.88 5.58 7.96
8 0 7.21 7.68 8.94
8 1 7.84 7.66 8.20
8 2 7.89 7.62 8.10
8 3 6.92 7.60 9.21
8 4 6.68 7.60 9.54
8 5 9.43 7.62 6.77
8 6 6.71 7.60 9.50
8 7 6.70 7.59 9.50
8 8 6.70 7.61 9.52
8 9 6.69 7.60 9.54
8 10 7.72 7.67 8.33
8 11 6.70 7.60 9.52
8 12 8.79 7.60 7.26
8 13 6.70 7.60 9.52
8 14 7.08 7.60 9.01
10 0 9.72 9.65 8.33
10 1 8.53 9.66 9.50
10 2 8.54 9.66 9.49
10 3 10.66 9.66 7.60
10 4 8.49 9.66 9.54
10 5 8.48 9.65 9.55
10 6 9.58 9.66 8.46
10 7 11.53 9.66 7.02
10 8 8.50 9.66 9.52
10 9 10.02 9.65 8.08
10 10 10.03 9.66 8.08
10 11 10.47 9.72 7.79
10 12 9.25 9.67 8.77
10 13 8.49 9.65 9.54
10 14 9.73 9.66 8.33
12 0 10.23 11.6 9.54
12 1 10.47 11.5 9.23
12 2 13.45 11.5 7.19
12 3 10.17 11.6 9.54
12 4 11.60 11.5 8.34
12 5 11.63 11.5 8.30
12 6 15.58 11.5 6.20
12 7 13.01 11.6 7.51
12 8 10.13 11.5 9.54
12 9 15.78 11.5 6.12
12 10 10.15 11.5 9.52
12 11 14.76 11.5 6.55
12 12 12.32 11.5 7.85
12 13 12.39 11.7 7.93
12 14 10.17 11.5 9.50
14 0 14.17 13.6 8.06
14 1 12.45 13.6 9.17
14 2 13.93 13.6 8.18
14 3 12.39 13.6 9.20
14 4 12.36 13.6 9.21
14 5 17.54 13.6 6.52
14 6 13.61 13.6 8.37
14 7 16.78 13.6 6.79
14 8 13.56 13.6 8.43
14 9 13.78 13.6 8.27
14 10 12.59 13.6 9.04
14 11 13.07 13.6 8.71
14 12 15.69 13.6 7.26
14 13 16.97 13.7 6.75
14 14 11.97 13.6 9.52
16 0 15.19 15.6 8.63
16 1 19.30 15.5 6.75
16 2 14.47 15.6 9.06
16 3 14.50 15.6 9.04
16 4 13.76 15.6 9.53
16 5 21.04 15.6 6.23
16 6 29.57 15.6 4.44
16 7 14.45 15.7 9.13
16 8 13.75 15.6 9.53
16 9 14.25 15.6 9.16
16 10 13.89 15.6 9.44
16 11 13.78 15.6 9.52
16 12 14.38 15.6 9.12
16 13 14.41 15.6 9.10
16 14 14.99 15.5 8.67
18 0 16.79 17.7 8.86
18 1 15.40 17.5 9.53
18 2 15.37 17.5 9.55
18 3 15.38 17.5 9.54
18 4 16.99 17.5 8.64
18 5 17.99 17.7 8.26
18 6 16.72 17.7 8.87
18 7 15.36 17.5 9.55
18 8 16.43 17.5 8.93
18 9 15.38 17.5 9.54
18 10 15.98 17.7 9.28
18 11 15.39 17.5 9.53
18 12 17.81 17.5 8.23
18 13 17.78 17.5 8.25
18 14 15.53 17.6 9.53
20 0 17.61 19.5 9.30
20 1 25.15 19.5 6.51
20 2 17.75 19.5 9.23
20 3 18.76 19.6 8.76
20 4 18.31 19.7 9.01
20 5 22.81 19.5 7.18
20 6 20.53 19.5 7.98
20 7 19.16 19.5 8.55
20 8 17.17 19.5 9.54
20 9 17.85 19.5 9.18
20 10 17.18 19.5 9.54
20 11 19.40 19.5 8.45
20 12 20.51 19.6 8.02
20 13 17.19 19.5 9.53
20 14 19.63 19.5 8.35
