total bandwidth : 10.0000000000 Mbits/sec, iterations : 10, sizes : arange(2, 21 ,2)
file_size[MB] iter total_transfert time goodput
2 0 2076479 2.012213 8.2555
2 1 2076492 1.962011 8.4668
2 2 2076479 3.118260 5.3273
2 3 2076492 1.963780 8.4592
2 4 2075784 4.006976 4.1443
2 5 2238678 3.261304 5.4915
2 6 2076527 2.825146 5.8801
2 7 2076514 1.858453 8.9387
2 8 2076514 1.973832 8.4162
2 9 2076501 2.633390 6.3082
4 0 4167969 3.797086 8.7814
4 1 4167969 3.886662 8.5790
4 2 4167969 4.494353 7.4190
4 3 4886385 10.679935 3.6602
4 4 5703116 10.503193 4.3439
4 5 4379241 4.387205 7.9855
4 6 4167921 5.411268 6.1618
4 7 4167956 4.711858 7.0765
4 8 4248323 5.325804 6.3815
4 9 4754798 10.629399 3.5786
6 0 6259424 6.581807 7.6082
6 1 6259424 7.851723 6.3776
6 2 6259424 6.112390 8.1924
6 3 6259411 7.616913 6.5742
6 4 6259389 6.170217 8.1156
6 5 6259359 7.223044 6.9327
6 6 6259424 6.131445 8.1670
6 7 6259424 6.071246 8.2480
6 8 6259389 5.486458 9.1270
6 9 6259389 5.933589 8.4393
8 0 8350844 7.269605 9.1899
8 1 8350879 7.605103 8.7845
8 2 8350844 7.274256 9.1840
8 3 8350844 7.633322 8.7520
8 4 8350071 7.400596 9.0264
8 5 8350814 7.280925 9.1756
8 6 8987472 14.440199 4.9791
8 7 8350866 8.298807 8.0502
8 8 8039927 10.848786 5.9287
8 9 8350879 7.276358 9.1814
10 0 10571666 11.091689 7.6249
10 1 10442334 9.025260 9.2561
10 2 10442334 9.426627 8.8620
10 3 10442321 9.050373 9.2304
10 4 10442221 9.540205 8.7564
10 5 10442321 9.029547 9.2517
10 6 10442334 9.130684 9.1492
10 7 10442299 9.024384 9.2570
10 8 10442286 9.439193 8.8502
10 9 10442334 9.020102 9.2614
12 0 12533754 11.016363 9.1019
12 1 12533776 11.563526 8.6712
12 2 12533620 10.827836 9.2603
12 3 12533776 11.624370 8.6259
12 4 12533789 12.654564 7.9236
12 5 12533789 10.686266 9.3831
12 6 12533776 10.794216 9.2893
12 7 12533776 10.958742 9.1498
12 8 12533776 10.845270 9.2455
12 9 12533776 10.813492 9.2727
14 0 14625231 12.563979 9.3125
14 1 14625244 12.637884 9.2580
14 2 14625170 12.821844 9.1252
14 3 14625231 13.174711 8.8808
14 4 14625218 12.709995 9.2055
14 5 15049196 17.230564 6.9872
14 6 14625231 12.596695 9.2883
14 7 14199758 22.666480 5.0117
14 8 14625231 12.990705 9.0066
14 9 14625244 12.789419 9.1483
16 0 16716673 14.369857 9.3065
16 1 16716686 14.377204 9.3018
16 2 16716686 14.420243 9.2740
16 3 16716673 14.533679 9.2016
16 4 16716686 14.663774 9.1200
16 5 16716673 14.527103 9.2058
16 6 16716638 14.341837 9.3247
16 7 16716686 14.224386 9.4017
16 8 16716673 14.360109 9.3128
16 9 16716686 14.336648 9.3281
18 0 18808141 16.131352 9.3275
18 1 18808128 16.146042 9.3190
18 2 18808011 16.158853 9.3116
18 3 18808141 16.094945 9.3486
18 4 18808093 16.108485 9.3407
18 5 18808141 16.110634 9.3395
18 6 19379364 22.825985 6.7920
18 7 18808093 16.384210 9.1835
18 8 18808128 17.462520 8.6165
18 9 19133934 18.342731 8.3451
20 0 20979881 21.820408 7.6918
20 1 20899583 18.557736 9.0095
20 2 21879856 20.464947 8.5531
20 3 21585327 24.570847 7.0279
20 4 20899548 17.895312 9.3430
20 5 20899596 18.595379 8.9913
20 6 20899561 17.896313 9.3425
20 7 20899596 19.428542 8.6057
20 8 20899596 18.692534 8.9446
20 9 20899561 17.873483 9.3544
