total bandwidth : 10.0000000000 Mbits/sec, iterations : 5, sizes : arange(2, 21 ,2)
file_size[MB] iter total_transfert time goodput
2 0 2076479 1.980047 8.3896
2 1 2076514 3.417660 4.8607
2 2 2076514 1.970060 8.4323
2 3 2076527 1.964209 8.4575
2 4 2076479 2.163124 7.6796
4 0 5621280 12.819264 3.5080
4 1 4167982 4.163384 8.0088
4 2 4167969 5.426383 6.1447
4 3 4167947 4.049700 8.2336
4 4 4167969 8.358450 3.9892
6 0 6259424 5.395226 9.2814
6 1 6259411 5.485722 9.1283
6 2 6259424 5.907184 8.4770
6 3 6259424 5.393675 9.2841
6 4 6259411 5.519664 9.0722
8 0 8350866 7.254401 9.2092
8 1 8350879 7.292317 9.1613
8 2 8350831 7.172436 9.3144
8 3 8350879 7.278226 9.1790
8 4 8350866 7.266927 9.1933
10 0 10442308 10.184222 8.2027
10 1 10899049 9.718101 8.9722
10 2 10442321 9.882753 8.4530
10 3 10442321 9.023047 9.2584
10 4 10442308 12.296645 6.7936
12 0 12533741 12.627817 7.9404
12 1 12533776 12.481628 8.0334
12 2 12501065 14.967592 6.6817
12 3 12042773 67.987711 1.4171
12 4 12042855 17.948507 5.3677
14 0 14625183 13.613830 8.5943
14 1 14625231 12.801423 9.1398
14 2 14787291 55.409837 2.1350
14 3 14625231 12.534989 9.3340
14 4 14625218 25.458289 4.5958
16 0 16716638 14.359742 9.3131
16 1 16716638 14.245514 9.3877
16 2 16716651 14.338013 9.3272
16 3 17908105 59.246047 2.4181
16 4 17189737 17.166659 8.0108
18 0 18808141 16.042553 9.3791
18 1 18808093 16.071534 9.3622
18 2 18807959 15.943478 9.4373
18 3 18808128 20.501277 7.3393
18 4 18775252 50.792024 2.9572
20 0 20899548 19.295863 8.6649
20 1 20899427 27.816407 6.0107
20 2 20899548 18.282021 9.1454
20 3 20899548 17.803472 9.3912
20 4 20899596 17.847562 9.3680
