handle bandwidth : 11.0000000000 Mbits/sec, total bandwidth of parallel links : 10.0000000000 Mbits/sec, considered rations : np.arange(0.000000, 1.010000, 0.100000) iterations : 15
ratio iter total_transfert time goodput
0.000 0 20899583 19.175217 8.7194
0.000 1 20899561 18.136975 9.2185
0.000 2 20899561 18.752916 8.9158
0.000 3 20899583 17.870142 9.3562
0.000 4 20899583 17.863189 9.3598
0.000 5 20899548 19.513691 8.5682
0.000 6 20899535 21.672141 7.7148
0.000 7 20899596 17.769857 9.4090
0.000 8 20899583 17.854365 9.3645
0.000 9 20899570 21.260408 7.8642
0.000 10 20899583 18.222370 9.1754
0.000 11 21470741 19.299770 8.8999
0.000 12 21061743 44.134577 3.8177
0.000 13 20899535 17.902197 9.3394
0.000 14 20899531 35.980803 4.6468
0.100 0 21062986 35.310669 4.7720
0.100 1 20247637 24.900598 6.5051
0.100 2 21684616 28.486736 6.0897
0.100 3 20671598 19.518417 8.4727
0.100 4 21034850 57.096616 2.9473
0.100 5 20686552 19.706532 8.3978
0.100 6 20033445 32.225802 4.9733
0.100 7 20426967 48.679749 3.3570
0.100 8 21062999 35.172125 4.7908
0.100 9 21471202 21.670591 7.9264
0.100 10 20246385 19.186829 8.4418
0.100 11 20459009 18.404399 8.8931
0.100 12 20035074 27.758327 5.7741
0.100 13 20065543 21.891519 7.3327
0.100 14 20555656 21.498039 7.6493
0.200 0 21308624 37.089144 4.5962
0.200 1 20524669 22.685977 7.2378
0.200 2 20033744 24.838501 6.4525
0.200 3 20017408 28.656955 5.5881
0.200 4 22549086 21.813285 8.2699
0.200 5 20459169 35.273829 4.6401
0.200 6 22550676 26.641815 6.7715
0.200 7 20459234 35.279892 4.6393
0.200 8 20850423 28.367719 5.8800
0.200 9 22565617 20.577372 8.7730
0.200 10 22534262 26.606459 6.7756
0.200 11 22534223 44.609489 4.0412
0.200 12 20441490 38.769882 4.2180
0.200 13 20542504 26.256896 6.2589
0.200 14 22549073 20.556881 8.7753
0.300 0 20457696 23.504617 6.9630
0.300 1 20310438 22.675259 7.1657
0.300 2 22352833 22.435370 7.9706
0.300 3 21128434 27.360183 6.1779
0.300 4 22352894 20.463207 8.7388
0.300 5 22352824 19.529966 9.1563
0.300 6 20262777 18.837485 8.6053
0.300 7 22598250 22.983718 7.8658
0.300 8 22352820 22.653604 7.8938
0.300 9 20883368 58.622286 2.8499
0.300 10 21095801 22.190012 7.6055
0.300 11 20099909 21.754683 7.3915
0.300 12 22338074 50.198221 3.5600
0.300 13 23611273 22.187514 8.5134
0.300 14 21095814 20.247000 8.3354
0.400 0 20050141 19.417732 8.2605
0.400 1 20819211 23.959252 6.9515
0.400 2 20050123 19.217719 8.3465
0.400 3 22140822 21.326225 8.3056
0.400 4 20475635 21.784012 7.5195
0.400 5 20883394 43.934279 3.8027
0.400 6 20883368 43.961337 3.8003
0.400 7 20328338 19.954448 8.1499
0.400 8 22843719 24.910389 7.3363
0.400 9 20491867 22.608018 7.2512
0.400 10 20883459 44.072481 3.7907
0.400 11 22140101 20.543186 8.6219
0.400 12 20883407 44.011954 3.7960
0.400 13 20051579 20.763391 7.7257
0.400 14 21717687 19.913965 8.7246
0.500 0 28203259 26.731499 8.4405
0.500 1 20883543 34.340804 4.8650
0.500 2 20900090 36.321130 4.6034
0.500 3 22540154 34.813241 5.1797
0.500 4 20621485 34.043234 4.8460
0.500 5 20899674 37.040198 4.5139
0.500 6 20980483 35.821701 4.6855
0.500 7 20899570 35.300456 4.7364
0.500 8 20883628 35.182736 4.7486
0.500 9 20884098 20.652355 8.0898
0.500 10 20883654 35.187078 4.7480
0.500 11 26113342 24.877348 8.3975
0.500 12 20884707 21.021449 7.9480
0.500 13 20899964 37.577298 4.4495
0.500 14 20884137 34.363132 4.8620
0.600 0 20475596 22.042571 7.4313
0.600 1 20524864 28.015074 5.8611
0.600 2 20997759 23.539462 7.1362
0.600 3 21814308 23.463812 7.4376
0.600 4 20050184 20.944523 7.6584
0.600 5 20883745 29.409506 5.6808
0.600 6 20475570 19.983506 8.1970
0.600 7 20883732 30.345105 5.5057
0.600 8 22157258 20.518206 8.6391
0.600 9 20883780 29.969434 5.5747
0.600 10 22140153 21.564810 8.2134
0.600 11 22140205 28.548182 6.2043
0.600 12 21717674 20.955897 8.2908
0.600 13 20883732 30.902271 5.4064
0.600 14 20474123 21.995309 7.4467
0.700 0 20752264 20.838787 7.9668
0.700 1 20883784 25.316609 6.5992
0.700 2 22352820 22.136433 8.0782
0.700 3 22352820 21.011032 8.5109
0.700 4 20245614 29.638013 5.4648
0.700 5 20883771 25.258173 6.6145
0.700 6 20883758 25.297662 6.6042
0.700 7 20883771 26.337422 6.3435
0.700 8 21520561 20.161486 8.5393
0.700 9 20817621 23.127635 7.2010
0.700 10 20392057 26.013263 6.2713
0.700 11 20262812 19.189306 8.4475
0.700 12 21095814 20.595444 8.1944
0.700 13 20263477 18.691978 8.6726
0.700 14 20934018 27.791295 6.0261
0.800 0 20883771 22.208539 7.5228
0.800 1 20883745 22.156289 7.5405
0.800 2 21748290 20.985003 8.2910
0.800 3 20883784 22.213868 7.5210
0.800 4 20883771 22.097734 7.5605
0.800 5 20458582 19.421023 8.4274
0.800 6 20883771 22.258885 7.5058
0.800 7 20066572 19.412633 8.2695
0.800 8 20050210 19.543200 8.2075
0.800 9 20458608 19.202058 8.5235
0.800 10 21095108 23.008310 7.3348
0.800 11 20882987 21.108479 7.9145
0.800 12 22010561 29.156829 6.0392
0.800 13 20883732 22.176471 7.5337
0.800 14 20475713 19.173377 8.5434
0.900 0 20883732 19.686167 8.4867
0.900 1 20459260 18.008329 9.0888
0.900 2 20670480 21.623068 7.6476
0.900 3 20980600 20.230842 8.2965
0.900 4 21747935 22.726526 7.6555
0.900 5 20017278 23.541146 6.8025
0.900 6 20883758 19.796829 8.4392
0.900 7 20883771 19.823146 8.4280
0.900 8 20671988 17.845555 9.2671
0.900 9 20474905 22.004051 7.4440
0.900 10 21372664 28.269495 6.0483
0.900 11 20883784 19.729601 8.4680
0.900 12 20883771 19.698689 8.4813
0.900 13 20883732 19.845424 8.4186
0.900 14 20883758 20.843967 8.0153
1.000 0 20899583 18.911160 8.8412
1.000 1 20899548 18.331179 9.1209
1.000 2 20899596 17.901069 9.3400
1.000 3 20899583 17.904154 9.3384
1.000 4 20930873 18.550330 9.0266
1.000 5 20898671 19.418439 8.6098
1.000 6 20899583 18.430686 9.0716
1.000 7 20899535 20.061140 8.3343
1.000 8 20898697 18.071566 9.2515
