Transfert size : 10.000000, handle bandwidth : 20.0000000000 Mbits/sec, bandwidth of top link : 5.0000000000 Mbits/sec, bandwidth of bot link : 5.0000000000 Mbits/sec, handle delay : 35.000000 ms, top delay : 35.000000 ms, considered bot delay ratios relative to top delay : np.arange(0.200000, 3.100000, 0.200000) iterations : 30
ratio iter total_transfert time goodput
0.200 0 17766782 16.410505 8.6612
0.200 1 11456561 12.750573 7.1881
0.200 2 11474617 11.681188 7.8585
0.200 3 17751889 18.442638 7.7004
0.200 4 10837660 15.005246 5.7781
0.200 5 10541944 14.640650 5.7604
0.200 6 13679085 13.511702 8.0991
0.200 7 13549675 16.316767 6.6433
0.200 8 10625153 14.286863 5.9496
0.200 9 13549705 14.247739 7.6081
0.200 10 11471688 13.370074 6.8641
0.200 11 13549736 14.601821 7.4236
0.200 12 11474552 11.908056 7.7088
0.200 13 10672658 20.285005 4.2091
0.200 14 11897113 13.281783 7.1660
0.200 15 11311010 11.912296 7.5962
0.200 16 15657566 15.242582 8.2178
0.200 17 11488085 13.215877 6.9541
0.200 18 10067437 15.105292 5.3319
0.200 19 11471480 12.775412 7.1835
0.200 20 10411065 14.240514 5.8487
0.200 21 10429587 17.508839 4.7654
0.200 22 10427375 13.680781 6.0975
0.200 23 10329372 13.643132 6.0569
0.200 24 10102904 19.365850 4.1735
0.200 25 10443811 18.122976 4.6102
0.200 26 10443885 18.426023 4.5344
0.200 27 10428887 18.858486 4.4241
0.200 28 11471649 11.768948 7.7979
0.200 29 13562996 15.510974 6.9953
0.400 0 10116510 16.641048 4.8634
0.400 1 10430278 21.078636 3.9586
0.400 2 10638638 17.813628 4.7778
0.400 3 13564448 12.705927 8.5405
0.400 4 10428818 11.970743 6.9695
0.400 5 15656119 15.504163 8.0784
0.400 6 10738266 18.099930 4.7462
0.400 7 16981393 16.357431 8.3052
0.400 8 17749060 16.486954 8.6124
0.400 9 11473096 11.293855 8.1270
0.400 10 11474582 11.732005 7.8245
0.400 11 11473122 12.405461 7.3988
0.400 12 13549727 14.276361 7.5928
0.400 13 10427423 13.238564 6.3012
0.400 14 10425980 16.200010 5.1486
0.400 15 10654661 18.299116 4.6580
0.400 16 15656110 15.680656 7.9875
0.400 17 10428818 11.611305 7.1853
0.400 18 10201236 15.168455 5.3802
0.400 19 10524148 17.537333 4.8008
0.400 20 11459563 13.600429 6.7407
0.400 21 10409566 11.306573 7.3653
0.400 22 11471779 14.841197 6.1837
0.400 23 17751301 21.334700 6.6563
0.400 24 17763962 24.387297 5.8273
0.400 25 17763785 16.885558 8.4161
0.400 26 11473131 11.156688 8.2269
0.400 27 10443737 13.334183 6.2658
0.400 28 11474656 11.482089 7.9948
