Transfert size : 10.000000, handle bandwidth : 20.0000000000 Mbits/sec, bandwidth of top link : 5.0000000000 Mbits/sec, bandwidth of bot link : 5.0000000000 Mbits/sec, handle delay : 35.000000 ms, top delay : 35.000000 ms, considered bot delay ratios relative to top delay : np.arange(0.200000, 3.100000, 0.200000) iterations : 30
ratio iter total_transfert time goodput
0.200 0 10443872 16.911692 4.9404
0.200 1 11488033 13.283097 6.9189
0.200 2 10558284 17.438082 4.8438
0.200 3 10460047 12.935825 6.4689
0.200 4 11471727 14.143010 6.4890
0.200 5 10459865 15.420154 5.4266
0.200 6 10085082 21.203311 3.8051
0.200 7 10281525 13.426574 6.1261
0.200 8 11226106 14.638205 6.1352
0.200 9 11487807 12.449790 7.3818
0.200 10 11471766 14.432466 6.3589
0.200 11 11474582 12.879437 7.1274
0.200 12 13566089 12.669198 8.5663
0.200 13 11569873 15.075814 6.1396
0.200 14 11473109 10.716113 8.5651
0.200 15 11474682 13.221945 6.9428
0.200 16 11473122 11.705432 7.8412
0.200 17 11471697 14.439227 6.3559
0.200 18 11505682 12.034258 7.6486
0.200 19 11458268 14.832342 6.1802
0.200 20 11031279 16.208293 5.4448
0.200 21 11359983 16.128143 5.6349
0.200 22 13092960 17.833980 5.8733
0.200 23 11584827 13.421272 6.9054
0.200 24 10394664 15.245875 5.4544
0.200 25 10100096 16.362348 4.9382
0.200 26 13534747 18.243962 5.9350
0.200 27 10427388 18.065479 4.6176
0.200 28 13548241 13.112066 8.2661
0.200 29 10425707 19.950197 4.1807
0.400 0 10934597 18.231065 4.7982
0.400 1 10427310 10.999057 7.5841
0.400 2 10214756 17.351503 4.7096
0.400 3 11473144 11.097993 8.2704
0.400 4 10427514 13.328298 6.2589
0.400 5 10430217 10.953912 7.6175
0.400 6 13222535 15.759403 6.7122
0.400 7 12712397 14.774889 6.8832
0.400 8 11767608 17.211407 5.4697
0.400 9 10442325 11.742301 7.1143
0.400 10 10411078 12.521440 6.6517
0.400 11 10394703 17.111189 4.8598
0.400 12 11456760 12.517561 7.3220
0.400 13 10330711 16.454866 5.0226
0.400 14 11473131 13.370015 6.8650
0.400 15 13808725 15.532390 7.1122
0.400 16 10653601 15.964211 5.3387
0.400 17 10771038 20.349820 4.2344
0.400 18 11458142 13.913861 6.5880
0.400 19 10217537 14.787875 5.5275
0.400 20 10427345 12.595636 6.6228
0.400 21 14842135 15.994726 7.4235
0.400 22 15655393 15.498203 8.0811
0.400 23 15834667 15.320044 8.2687
0.400 24 10295058 12.365713 6.6604
0.400 25 11473144 11.251220 8.1578
0.400 26 14103193 15.612343 7.2267
0.400 27 11473122 11.131062 8.2458
0.400 28 11458194 12.419875 7.3806
0.400 29 10443802 13.067220 6.3939
0.600 0 10429604 16.452348 5.0714
0.600 1 10425794 18.054338 4.6197
0.600 2 10543378 14.972119 5.6336
0.600 3 10427388 16.223352 5.1419
0.600 4 11440107 15.063912 6.0755
0.600 5 10412430 14.107008 5.9048
0.600 6 11458233 15.992017 5.7320
0.600 7 10820033 12.478306 6.9369
0.600 8 10428887 17.347699 4.8093
0.600 9 13579557 14.174009 7.6645
0.600 10 13015227 15.026101 6.9294
0.600 11 13579618 15.227852 7.1341
0.600 12 10951046 12.504638 7.0061
0.600 13 11473096 11.086735 8.2788
0.600 14 10427410 11.034911 7.5596
0.600 15 11474591 14.363750 6.3909
0.600 16 13531879 16.108977 6.7202
0.600 17 11472954 11.166120 8.2198
0.600 18 15328818 16.389800 7.4821
0.600 19 11473144 10.999608 8.3444
0.600 20 17339880 28.393011 4.8857
0.600 21 14299420 14.056434 8.1383
0.600 22 15068512 16.779760 7.1841
0.600 23 10428783 13.486753 6.1861
